structure_id,structure_name,tissue,cortical_region
10179,lateral subdivision of area 9,???,dorsolateral_pfc
11341,rostral presubiculum,???,hippocampus
10381,amygdalostriatal transition area,amygdaloid,brain_tissue
10362,anterior amygdaloid area,amygdaloid,brain_tissue
10374,anterior cortical nucleus,amygdaloid,brain_tissue
10368,basolateral nucleus (basal nucleus),amygdaloid,brain_tissue
10369,basomedial nucleus (accessory basal nucleus),amygdaloid,brain_tissue
10384,bed nucleus of stria terminalis,amygdaloid,brain_tissue
10378,Intercalated nucleus of amygdala,amygdaloid,brain_tissue
11531,caudal subdivision of medial nucleus,amygdaloid,brain_tissue
10363,central nuclear group,amygdaloid,brain_tissue
11506,central part of CEl,amygdaloid,brain_tissue
10371,endopiriform nucleus,amygdaloid,brain_tissue
10367,lateral nucleus,amygdaloid,brain_tissue
10386,lateral subdivision of BNST,amygdaloid,brain_tissue
10364,medial subdivision of central nucleus,amygdaloid,brain_tissue
10375,posterior cortical nucleus,amygdaloid,brain_tissue
11530,rostral subdivision of medial nucleus,amygdaloid,brain_tissue
10353,basal nucleus of Meynert,basal_forebrain,brain_tissue
10347,Dorsal claustrum,basal_forebrain,brain_tissue
10352,lateral septal nucleus,basal_forebrain,brain_tissue
10351,medial septal nucleus,basal_forebrain,brain_tissue
10354,nucleus of diagonal band,basal_forebrain,brain_tissue
10357,nucleus subputaminalis,basal_forebrain,brain_tissue
10348,ventral claustrum,basal_forebrain,brain_tissue
10410,anterior nucleus of pulvinar,basal_ganglia,brain_tissue
10336,body of caudate,basal_ganglia,brain_tissue
11538,caudal putamen,basal_ganglia,brain_tissue
10344,internal segment of globus pallidus,basal_ganglia,brain_tissue
11541,medioventral part of putamen,basal_ganglia,brain_tissue
10337,tail of caudate,basal_ganglia,brain_tissue
11548,central portion of GPi,basal_ganglia,brain_tissue
10340,core of nucleus accumbens,basal_ganglia,brain_tissue
10343,external segment of globus pallidus,basal_ganglia,brain_tissue
10335,head of caudate,basal_ganglia,brain_tissue
11549,peripheral portion of GPi,basal_ganglia,brain_tissue
11537,rostral putamen,basal_ganglia,brain_tissue
11545,lateral portion of the shell,basal_ganglia,brain_tissue
11539,laterodorsal part of putamen,basal_ganglia,brain_tissue
11547,medial portion of the shell,basal_ganglia,brain_tissue
10345,Ventral pallidus,basal_ganglia,brain_tissue
12808,choroid plexus of the fourth ventricle,choroid_plexus,brain_tissue
10328,agranular insular cortex (area Iag),???,agranular_insula
11693,inner CP in primary auditory cortex,cortical_plate,auditory
11692,outer CP in primary auditory cortex,cortical_plate,auditory
11724,inner CP in caudal cingulate cortex,cortical_plate,caudal_cingulate
11723,outer CP in caudal cingulate cortex,cortical_plate,caudal_cingulate
11684,inner CP in posterosuperior (dorsal) parietal cortex,cortical_plate,dorsal_parietal
11683,outer CP in posterosuperior (dorsal) parietal cortex,cortical_plate,dorsal_parietal
11690,inner CP in dorsomedial parietal cortex (area 7m),cortical_plate,dorsal_parietal
11689,outer CP in dorsomedial parietal cortex (area 7m),cortical_plate,dorsal_parietal
11660,inner CP in dorsolateral prefrontal cortex,cortical_plate,dorsolateral_pfc
11659,outer CP in dorsolateral prefrontal cortex,cortical_plate,dorsolateral_pfc
10181,intermediate portion of DFC (area 9/46),???,dorsolateral_pfc
11651,inner CP in dorsomedial frontal cortex,cortical_plate,dorsolateral_pfc
11650,outer CP in dorsomedial frontal cortex,cortical_plate,dorsolateral_pfc
11696,inner CP in superolateral temporal cortex,cortical_plate,dorsolateral_temporal
11695,outer CP in superolateral temporal cortex,cortical_plate,dorsolateral_temporal
11731,inner CP in dysgranular insular cortex,cortical_plate,dysgranular_insula
11730,outer CP in dysgranular insular cortex,cortical_plate,dysgranular_insula
11672,inner CP in dorsomedial extrastriate cortex,cortical_plate,extrastriate
11678,inner CP in midlateral extrastriate cortex,cortical_plate,extrastriate
11675,inner CP in ventromedial extrastriate cortex,cortical_plate,extrastriate
11671,outer CP in dorsomedial extrastriate cortex,cortical_plate,extrastriate
11677,outer CP in midlateral extrastriate cortex,cortical_plate,extrastriate
11674,outer CP in ventromedial extrastriate cortex,cortical_plate,extrastriate
11666,inner CP in frontal polar cortex,cortical_plate,frontal_pole
11665,outer CP in frontal polar cortex,cortical_plate,frontal_pole
11734,inner CP in granular insular cortex,cortical_plate,granular_insula
11733,outer CP in granular insular cortex,cortical_plate,granular_insula
11737,CP in caudal hippocampus,cortical_plate,hippocampus
11740,CP in caudal subicular cortex,cortical_plate,hippocampus
11736,CP in rostral hippocampus,cortical_plate,hippocampus
11711,inner CP in lateral temporal-occipital cortex,cortical_plate,lateral_temporal-occipital
11710,outer CP in lateral temporal-occipital cortex,cortical_plate,lateral_temporal-occipital
11708,inner CP in medial temporal-occipital cortex,cortical_plate,medial_temporal-occipital
